date,closing,adjusted,evolution,quantity,volume
02/07/2021,"93,50","93,50","1,06",4465,"415968,63"
05/07/2021,"92,00","92,00","-1,60",811,"75134,8"
06/07/2021,"92,86","92,86","0,93",188,"17211,22"
07/07/2021,"92,48","92,48","-0,41",13785,"1274885,25"
08/07/2021,"92,50","92,50","0,02",8034,"734828,54"
09/07/2021,"92,02","92,02","-0,52",1075,"98917,46"
12/07/2021,"92,97","92,97","1,03",2238,"207890,85"
13/07/2021,"92,00","92,00","-1,04",76,6992
14/07/2021,"92,96","92,96","1,04",20924,"1925140,88"
15/07/2021,"92,00","92,00","-1,03",1168,107594
16/07/2021,"92,88","92,88","0,96",82,"7472,1"
19/07/2021,"91,10","91,10","-1,92",534,"48669,02"
20/07/2021,"91,01","91,01","-0,10",79,"7169,63"
23/07/2021,"92,99","92,99","2,18",2565,"238369,56"
26/07/2021,"92,99","92,99","0,00",0,0
27/07/2021,"92,98","92,98","-0,01",301,"27977,08"
28/07/2021,"92,88","92,88","-0,11",65,"5936,71"
29/07/2021,"92,99","92,99","0,12",3096,"287623,87"
02/08/2021,"92,97","92,97","-0,02",111,"10246,64"
03/08/2021,"94,32","94,32","1,45",2006,"185560,82"
04/08/2021,"94,00","94,00","-0,34",3192,"299822,76"
05/08/2021,"93,98","93,98","-0,02",484,"44733,41"
06/08/2021,"92,50","92,50","-1,57",1505,"139219,5"
09/08/2021,"92,50","92,50","0,00",113,"10446,1"
11/08/2021,"93,47","93,47","1,05",70,"6543,05"
12/08/2021,"93,00","93,00","-0,50",632,"58752,4"
13/08/2021,"93,49","93,49","0,53",19592,"1822020,98"
16/08/2021,"93,47","93,47","-0,02",121,"11223,01"
17/08/2021,"93,80","93,80","0,35",1183,"110986,78"
18/08/2021,"95,88","95,88","2,22",2885,"273168,53"
19/08/2021,"94,50","94,50","-1,44",908,"85914,44"
23/08/2021,"94,66","94,66","0,17",269,"25488,09"
24/08/2021,"95,61","95,61","1,00",1271,"122361,96"
25/08/2021,"94,00","94,00","-1,68",8010,754802
26/08/2021,"96,69","96,69","2,86",64,"6099,76"
27/08/2021,"94,00","94,00","-2,78",21000,1974140
30/08/2021,"94,70","94,70","0,74",42,"3980,03"
31/08/2021,"95,10","95,10","0,42",8545,"818817,76"
01/09/2021,"95,00","95,00","-0,11",887,84292
02/09/2021,"95,00","95,00","0,00",1699,"161402,98"
03/09/2021,"96,00","96,00","1,05",2258,"215086,91"
06/09/2021,"96,00","96,00","0,00",1968,"190469,57"
07/09/2021,"98,00","98,00","2,08",6103,"592692,8"
08/09/2021,"99,50","99,50","1,53",2768,"272770,6"
09/09/2021,"99,50","99,50","0,00",6146,613993
10/09/2021,"99,50","99,50","0,00",10826,"1075004,8"
13/09/2021,"102,55","102,55","3,07",2537,"260513,1"
14/09/2021,"102,85","102,85","0,29",18,"1851,4"
15/09/2021,"102,50","102,50","-0,34",50,5115
16/09/2021,"102,00","102,00","-0,49",2852,"291046,3"
17/09/2021,"101,95","101,95","-0,05",69264,7064683
20/09/2021,"102,00","102,00","0,05",9818,"992177,9"
21/09/2021,"100,00","100,00","-1,96",14156,1420216
22/09/2021,"100,80","100,80","0,80",7220,726405
23/09/2021,"101,00","101,00","0,20",10985,1108985
24/09/2021,"102,50","102,50","1,49",22861,2330722
27/09/2021,"101,90","101,90","-0,59",2244,"228360,7"
28/09/2021,"101,50","101,50","-0,39",34792,"3531288,7"
29/09/2021,"101,50","101,50","0,00",30004,3045410
30/09/2021,"101,50","101,50","0,00",3636,"368478,05"
01/10/2021,"105,55","105,55","3,99",174659,"18135803,4"
04/10/2021,"109,75","109,75","3,98",13593,"1479964,2"
05/10/2021,"114,10","114,10","3,96",4162,"473512,5"
06/10/2021,"114,00","114,00","-0,09",53566,"6301428,05"
07/10/2021,"113,00","113,00","-0,88",6075,"689599,05"
08/10/2021,"116,90","116,90","3,45",6107,"700778,85"
11/10/2021,"113,10","113,10","-3,25",5960,"677086,8"
12/10/2021,"116,00","116,00","2,56",2439,"278737,15"
13/10/2021,"115,00","115,00","-0,86",6830,"774365,4"
14/10/2021,"117,70","117,70","2,35",3363,"386951,45"
15/10/2021,"118,00","118,00","0,25",55751,6544357
18/10/2021,"117,75","117,75","-0,21",11215,"1311186,35"
21/10/2021,"116,80","116,80","-0,81",4697,536637
22/10/2021,"116,50","116,50","-0,26",29353,"3375842,85"
25/10/2021,"117,00","117,00","0,43",6413,"753419,5"
26/10/2021,"119,00","119,00","1,71",16315,"1937639,2"
27/10/2021,"121,85","121,85","2,39",3708,"446054,45"
28/10/2021,"118,50","118,50","-2,75",4338,"516347,9"
29/10/2021,"118,90","118,90","0,34",10571,"1249908,6"
01/11/2021,"117,50","117,50","-1,18",3312,"389953,05"
02/11/2021,"117,50","117,50","0,00",1740,204480
03/11/2021,"117,90","117,90","0,34",1193,"140000,7"
04/11/2021,"117,00","117,00","-0,76",1171,"135774,3"
05/11/2021,"117,00","117,00","0,00",4025,"470131,2"
08/11/2021,"117,00","117,00","0,00",41,"4772,05"
09/11/2021,"116,90","116,90","-0,09",932,"107787,2"
10/11/2021,"115,95","115,95","-0,81",6552,"747092,8"
11/11/2021,"115,50","115,50","-0,39",1117,"129029,35"
