date,closing,adjusted,evolution,quantity,volume
17/11/2020,"1020,00","1020,00","0,00",1,1020
19/11/2020,"1020,00","1020,00","0,00",1,1020
20/11/2020,"1020,00","1020,00","0,00",1,1020
23/11/2020,"1020,00","1020,00","0,00",1,1020
24/11/2020,"1001,00","1001,00","-1,86",11,11011
25/11/2020,"1002,00","1002,00","0,10",1,1002
26/11/2020,"1030,00","1030,00","2,79",45,46350
27/11/2020,"1039,00","1039,00","0,87",1,1039
30/11/2020,"1040,00","1040,00","0,10",1,1040
01/12/2020,"1040,00","1040,00","0,00",1,1040
02/12/2020,"1040,00","1040,00","0,00",1,1040
03/12/2020,"1040,00","1040,00","0,00",1,1040
04/12/2020,"1039,00","1039,00","-0,10",1,1039
07/12/2020,"1039,00","1039,00","0,00",1,1039
08/12/2020,"1039,00","1039,00","0,00",1,1039
09/12/2020,"1040,00","1040,00","0,10",1,1040
10/12/2020,"1040,00","1040,00","0,00",1,1040
11/12/2020,"1040,00","1040,00","0,00",55,57200
14/12/2020,"1050,00","1050,00","0,96",1,1050
15/12/2020,"1050,00","1050,00","0,00",3,3150
16/12/2020,"1060,00","1060,00","0,95",1,1060
17/12/2020,"1072,00","1072,00","1,13",1,1072
18/12/2020,"1110,00","1110,00","3,54",81,89910
21/12/2020,"1100,00","1100,00","-0,90",45,49500
22/12/2020,"1101,00","1101,00","0,09",1,1101
23/12/2020,"1101,00","1101,00","0,00",1,1101
24/12/2020,"1101,00","1101,00","0,00",1,1101
25/12/2020,"1057,00","1057,00","-4,00",63,66591
28/12/2020,"1078,00","1078,00","1,99",15,16170
29/12/2020,"1100,00","1100,00","2,04",26,28600
30/12/2020,"1100,00","1100,00","0,00",40,44000
31/12/2020,"1116,00","1116,00","1,45",1,1116
04/01/2021,"1116,00","1116,00","0,00",1,1116
05/01/2021,"1111,00","1111,00","-0,45",1,1111
06/01/2021,"1111,00","1111,00","0,00",1,1111
07/01/2021,"1111,00","1111,00","0,00",1,1111
08/01/2021,"1090,00","1090,00","-1,89",13,14170
12/01/2021,"1091,00","1091,00","0,09",1,1091
13/01/2021,"1112,00","1112,00","1,92",40,44480
14/01/2021,"1122,00","1122,00","0,90",1,1122
15/01/2021,"1122,00","1122,00","0,00",160,179520
18/01/2021,"1132,00","1132,00","0,89",1,1132
19/01/2021,"1133,00","1133,00","0,09",1,1133
20/01/2021,"1133,00","1133,00","0,00",1,1133
21/01/2021,"1133,00","1133,00","0,00",1,1133
22/01/2021,"1133,00","1133,00","0,00",1,1133
25/01/2021,"1133,00","1133,00","0,00",1,1133
26/01/2021,"1133,00","1133,00","0,00",1,1133
27/01/2021,"1154,00","1154,00","1,85",4,4616
28/01/2021,"1152,00","1152,00","-0,17",1,1152
29/01/2021,"1152,00","1152,00","0,00",464,534528
01/02/2021,"1152,00","1152,00","0,00",1,1152
02/02/2021,"1152,00","1152,00","0,00",1,1152
03/02/2021,"1152,00","1152,00","0,00",1,1152
04/02/2021,"1152,00","1152,00","0,00",1,1152
05/02/2021,"1131,00","1131,00","-1,82",1,1131
08/02/2021,"1138,00","1138,00","0,62",1,1138
09/02/2021,"1141,00","1141,00","0,26",1,1141
10/02/2021,"1141,00","1141,00","0,00",1,1141
11/02/2021,"1163,00","1163,00","1,93",10,11630
12/02/2021,"1172,00","1172,00","0,77",1,1172
15/02/2021,"1171,00","1171,00","-0,09",1,1171
16/02/2021,"1192,00","1192,00","1,79",1,1192
17/02/2021,"1192,00","1192,00","0,00",1,1192
18/02/2021,"1192,00","1192,00","0,00",1,1192
19/02/2021,"1192,00","1192,00","0,00",1,1192
22/02/2021,"1192,00","1192,00","0,00",1,1192
23/02/2021,"1170,00","1170,00","-1,85",11,12874
24/02/2021,"1172,00","1172,00","0,17",1,1172
25/02/2021,"1172,00","1172,00","0,00",1,1172
26/02/2021,"1187,00","1187,00","1,28",1,1187
01/03/2021,"1187,00","1187,00","0,00",1,1187
02/03/2021,"1187,00","1187,00","0,00",1,1187
03/03/2021,"1187,00","1187,00","0,00",1,1187
04/03/2021,"1187,00","1187,00","0,00",1,1187
05/03/2021,"1165,00","1165,00","-1,85",10,11650
08/03/2021,"1165,00","1165,00","0,00",1,1165
09/03/2021,"1143,00","1143,00","-1,89",4,4572
10/03/2021,"1148,00","1148,00","0,44",1,1148
11/03/2021,"1148,00","1148,00","0,00",1,1148
12/03/2021,"1148,00","1148,00","0,00",123,141204
